Course,Year,StudentSeqID,Exam,Exam %,LecturesViewed,UniqueViews,TotalViewDuration,DaysBeforeExam
2,3,200,1,62.5,0,0,0,0
2,3,200,2,54,2,3,159,0
2,3,200,3,59,4,12,321,11
2,3,201,1,75,4,8,464,39
2,3,201,2,76,2,2,98,2
2,3,201,3,85,4,10,594,68
2,3,202,1,35.8333333333333,0,0,0,0
2,3,202,2,78,0,0,0,0
2,3,202,3,80,0,0,0,0
2,3,203,1,75.8333333333333,0,0,0,0
2,3,203,2,76,0,0,0,0
2,3,203,3,66,0,0,0,0
2,3,204,1,41.6666666666667,3,8,227,4
2,3,204,2,76,2,2,97,0
2,3,204,3,75,1,1,35,1
2,3,205,1,55.8333333333333,4,7,438,27
2,3,205,2,70,0,0,0,0
2,3,205,3,75.5,0,0,0,0
2,3,206,1,70.8333333333333,4,10,319,3
2,3,206,2,80,2,6,199,2
2,3,206,3,88,4,7,394,0
2,3,207,1,58.3333333333333,4,7,188,8
2,3,207,2,64,2,4,181,6
2,3,207,3,66.5,4,12,385,16
2,3,208,1,70,0,0,0,0
2,3,208,2,78,0,0,0,0
2,3,208,3,66.5,0,0,0,0
2,3,209,1,42.5,2,3,194,14
2,3,209,2,74,0,0,0,0
2,3,209,3,70,0,0,0,0
3,3,210,1,52.2727272727273,2,6,115,10
3,3,210,2,59.5833333333333,2,7,154,22
3,3,210,3,64.5,3,6,212,16
3,3,211,1,58.3333333333333,3,8,137,5
3,3,211,2,42.5,2,5,80,5
3,3,211,3,72.5,3,6,240,10
3,3,212,1,40.9090909090909,0,0,0,0
3,3,212,2,34.5833333333333,0,0,0,0
3,3,212,3,73.5,0,0,0,0
3,3,213,1,53.030303030303,0,0,0,0
3,3,213,2,38.75,0,0,0,0
3,3,213,3,62.5,0,0,0,0
3,3,214,1,64.3939393939394,0,0,0,0
3,3,214,2,61.25,0,0,0,0
3,3,214,3,82.5,0,0,0,0
3,3,215,1,32.5757575757576,0,0,0,0
3,3,215,2,30.8333333333333,2,2,24,1
3,3,215,3,69.25,0,0,0,0
3,3,216,1,46.2121212121212,2,4,133,23
3,3,216,2,51.25,0,0,0,0
3,3,216,3,71.75,0,0,0,0
3,3,217,1,60.6060606060606,3,8,277,9
3,3,217,2,63.75,3,13,241,56
3,3,217,3,81,0,0,0,0
3,3,218,1,28.030303030303,0,0,0,0
3,3,218,3,56,0,0,0,0
3,3,219,1,71.2121212121212,2,2,10,0
3,3,219,2,73.3333333333333,3,4,260,1
3,3,219,3,75.25,4,8,341,7
3,3,220,1,53.030303030303,0,0,0,0
3,3,220,2,52.0833333333333,0,0,0,0
3,3,220,3,77,0,0,0,0
3,3,94,1,37.1212121212121,3,3,225,5
3,3,94,2,40,3,3,126,0
3,3,94,3,78.5,0,0,0,0
3,3,221,1,80.3030303030303,3,4,261,4
3,3,221,2,78.3333333333333,3,8,298,12
3,3,221,3,89.25,4,6,379,15
3,3,222,2,31.6666666666667,0,0,0,0
3,3,222,3,70,0,0,0,0
3,3,223,1,69.6969696969697,3,9,356,24
3,3,223,2,58.3333333333333,1,1,100,0
3,3,223,3,83,2,3,137,1
3,3,98,1,47.7272727272727,0,0,0,0
3,3,98,2,25,0,0,0,0
3,3,99,1,50,3,3,299,6
3,3,99,2,39.1666666666667,3,6,382,62
3,3,99,3,56.5,3,3,248,3
3,3,224,1,63.6363636363636,0,0,0,0
3,3,224,2,55,3,9,271,17
3,3,224,3,75,4,11,295,30
3,3,225,1,85.6060606060606,3,10,235,78
3,3,225,2,73.3333333333333,4,6,289,27
3,3,225,3,81.25,2,6,190,5
3,3,226,1,40.1515151515152,1,2,5,0
3,3,226,2,38.3333333333333,3,3,205,0
